Subzone,PopMale,PopFemale,subzone,Population
Admiralty,6860,7060,ADMIRALTY,13920.00
Airport Road,-,-,AIRPORT ROAD,-
Alexandra Hill,6630,6860,ALEXANDRA HILL,13490.00
Alexandra North,1230,1400,ALEXANDRA NORTH,2630.00
Aljunied,19740,20250,ALJUNIED,39990.00
Anak Bukit,10370,11500,ANAK BUKIT,21870.00
Anchorvale,23700,24420,ANCHORVALE,48120.00
Ang Mo Kio Town Centre,2260,2550,ANG MO KIO TOWN CENTRE,4810.00
Anson,-,-,ANSON,-
Bahar,-,-,BAHAR,-
Balestier,15670,16760,BALESTIER,32430.00
Bangkit,11010,11260,BANGKIT,22270.00
Bayfront Subzone,-,-,BAYFRONT SUBZONE,-
Bayshore,3580,3870,BAYSHORE,7450.00
Bedok North,39700,42140,BEDOK NORTH,81840.00
Bedok Reservoir,12480,12990,BEDOK RESERVOIR,25470.00
Bedok South,22540,24160,BEDOK SOUTH,46700.00
Bencoolen,620,690,BENCOOLEN,1310.00
Bendemeer,18240,19330,BENDEMEER,37570.00
Benoi Sector,-,-,BENOI SECTOR,-
Bidadari,-,-,BIDADARI,-
Bishan East,13420,14880,BISHAN EAST,28300.00
Boat Quay,70,60,BOAT QUAY,130.00
Boon Keng,5630,6160,BOON KENG,11790.00
Boon Lay Place,15060,14270,BOON LAY PLACE,29330.00
Boon Teck,7210,7450,BOON TECK,14660.00
Boulevard,210,200,BOULEVARD,410.00
Braddell,4590,5210,BRADDELL,9800.00
Bras Basah,-,-,BRAS BASAH,-
Brickland,-,-,BRICKLAND,-
Brickworks,9800,10020,BRICKWORKS,19820.00
Bugis,440,450,BUGIS,890.00
Bukit Batok Central,13290,14000,BUKIT BATOK CENTRAL,27290.00
Bukit Batok East,6290,6410,BUKIT BATOK EAST,12700.00
Bukit Batok South,7360,7570,BUKIT BATOK SOUTH,14930.00
Bukit Batok West,7300,7700,BUKIT BATOK WEST,15000.00
Bukit Ho Swee,7050,7340,BUKIT HO SWEE,14390.00
Bukit Merah,550,570,BUKIT MERAH,1120.00
Cairnhill,1830,2060,CAIRNHILL,3890.00
Cecil,130,130,CECIL,260.00
Central Subzone,410,470,CENTRAL SUBZONE,880.00
Central Water Catchment,-,-,CENTRAL WATER CATCHMENT,-
Changi Airport,-,-,CHANGI AIRPORT,-
Changi Bay,-,-,CHANGI BAY,-
Changi Point,300,240,CHANGI POINT,540.00
Changi West,660,650,CHANGI WEST,1310.00
